subentry,X4file,target,reaction,measure,description,ENmin,ENmax,rows,uncertainties,authors,year,reference
"21904004","21904.x4","Be-9","N,A","CS","Partial cross section for 9Be(n,alpha)6He","14.1","14.1","1"," ","K.Shibata,S.Shirato","1983","Journal of the Physical Society of Japan 52,(11),3748 (1983)"
"21904005","21904.x4","Be-9","N,A","CS","Partial cross section for 9Be(n,alpha)6He","14.1","14.1","1"," ","K.Shibata,S.Shirato","1983","Journal of the Physical Society of Japan 52,(11),3748 (1983)"
"22035002","22035.x4","Be-9","N,T","CS","Cross section for 9Be(n,t)7Li","12.86","19.57","22"," ","H.Liskien,R.Widera,R.Woelfe,R.Widera","1987","Private communication: Liskien  (1987)"
"22075210","22075.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.1","14.1","16"," ","A.Takahashi,E.Ichimura,Y.Sasaki,H.Sugimoto","1987","Report other than progress report: OKTAV-A-87-03  (1987); Report containing conference proc.: JAERI-M-88-065 279 (1988); Report containing conference proc.: INDC(JPN)-113 279 (1988)"
"22075212","22075.x4","Be-9","N,2N","DA","Differential c/s with respect to angle for 9Be(n,2n)8Be","14.1","14.1","16"," ","A.Takahashi,E.Ichimura,Y.Sasaki,H.Sugimoto","1987","Report other than progress report: OKTAV-A-87-03  (1987); Report containing conference proc.: JAERI-M-88-065 279 (1988); Report containing conference proc.: INDC(JPN)-113 279 (1988)"
"22075213","22075.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","14.1","14.1","1"," ","A.Takahashi,E.Ichimura,Y.Sasaki,H.Sugimoto","1987","Report other than progress report: OKTAV-A-87-03  (1987); Report containing conference proc.: JAERI-M-88-065 279 (1988); Report containing conference proc.: INDC(JPN)-113 279 (1988)"
"22075220","22075.x4","Be-9","N,2N","CS","Cross section for 9Be(n,2n)8Be","14.1","14.1","1"," ","A.Takahashi,E.Ichimura,Y.Sasaki,H.Sugimoto","1987","Report other than progress report: OKTAV-A-87-03  (1987); Report containing conference proc.: JAERI-M-88-065 279 (1988); Report containing conference proc.: INDC(JPN)-113 279 (1988)"
"22105003","22105.x4","Be-9","N,TOT","CS","Spectrum average Cross section for 9Be(n,Total)","0.143","2.1","3"," ","L.Koester,W.Waschkowski,J.Meier,G.Rau,M.Salehi","1988","Zeitschrift fuer Physik,Section A 330,387 (1988)"
"22113010","22113.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","10.131","10.131","2"," ","G.Boerker,R.Boettger,H.J.Brede,H.Klein,W.Mannhart,R.L.Siebert","1988","Conf.on Nucl.Data For Sci.and Technol.,Mito 1988 ,193 (1988); Report other than progress report: PTB-N-1  (1989)"
"22113011","22113.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","10.131","10.131","34"," ","G.Boerker,R.Boettger,H.J.Brede,H.Klein,W.Mannhart,R.L.Siebert","1988","Conf.on Nucl.Data For Sci.and Technol.,Mito 1988 ,193 (1988); Report other than progress report: PTB-N-1  (1989)"
"22127002","22127.x4","Be-9","N,EL","CS","Cross section for 9Be(n,Elastic)9Be","21.6","21.6","1"," ","N.Olsson,E.Ramstroem,B.Trostell","1989","Private communication: Olsson  (1989); Nuclear Physics,Section A 509,161 (1990)"
"22127003","22127.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","21.6","21.6","38"," ","N.Olsson,E.Ramstroem,B.Trostell","1989","Private communication: Olsson  (1989); Nuclear Physics,Section A 509,161 (1990)"
"22157013","22157.x4","Be-9","N,EL","DA","Differential c/s with respect to angle for 9Be(n,Elastic)9Be","14.1","14.1","11"," ","M.Baba,M.Ishikawa,T.Kikuchi,H.Wakabayashi,N.Yabuta,N.Hirakawa","1988","Conf.on Nucl.Data For Sci.and Technol.,Mito 1988 209 (1988)"
"22183002","22183.x4","Be-9","N,T","CS","Cross section for 9Be(n,t)7Li","16.32","19.02","3"," ","R.Woelfle,S.M.Qaim,H.Liskien,R.Widera","1990","Radiochimica Acta 50,5 (1990)"
